material,x,y,z,photons,electrons,SL,E
scintillator,0,0,0,False,False,False,False
scintillator,0,0,1,False,False,False,False
scintillator,0,0,2,False,False,False,False
scintillator,0,0,3,False,False,False,False
scintillator,0,0,4,False,False,False,False
scintillator,0,0,5,False,False,False,False
scintillator,0,0,6,False,False,False,False
scintillator,0,0,7,False,False,False,False
scintillator,0,0,8,False,False,False,False
scintillator,0,0,9,False,False,False,False
scintillator,0,0,10,False,False,False,False
scintillator,0,0,11,False,False,False,False
scintillator,0,0,12,False,False,False,False
scintillator,0,0,13,False,False,False,False
scintillator,0,0,14,False,False,False,False
scintillator,0,0,15,False,False,False,False
scintillator,0,0,16,False,False,False,False
scintillator,0,0,17,False,False,False,False
scintillator,0,0,18,False,False,False,False
scintillator,0,0,19,False,False,False,False
scintillator,0,0,20,False,False,False,False
scintillator,0,0,21,False,False,False,False
scintillator,0,0,22,False,False,False,False
scintillator,0,0,23,False,False,False,False
scintillator,0,0,24,False,False,False,False
scintillator,0,0,25,False,False,False,False
scintillator,0,0,26,False,False,False,False
scintillator,0,0,27,False,False,False,False
scintillator,0,0,28,False,False,False,False
scintillator,0,0,29,False,False,False,False
scintillator,0,0,30,False,False,False,False
scintillator,0,0,31,False,False,False,False
scintillator,0,0,32,False,False,False,False
scintillator,0,0,33,False,False,False,False
scintillator,0,0,34,False,False,False,False
scintillator,0,0,35,False,False,False,False
scintillator,0,0,36,False,False,False,False
scintillator,0,0,37,False,False,False,False
scintillator,0,0,38,False,False,False,False
scintillator,0,0,39,False,False,True,False
scintillator,0,0,40,False,False,False,False
scintillator,0,0,41,False,False,False,False
scintillator,0,0,42,False,False,True,False
scintillator,0,0,43,False,False,True,False
scintillator,0,0,44,False,False,True,False
scintillator,0,0,45,False,False,True,False
scintillator,0,0,46,False,False,True,False
scintillator,0,0,47,False,False,False,False
scintillator,0,0,48,False,False,True,False
scintillator,0,0,49,False,False,False,False
scintillator,0,0,50,False,False,True,False
scintillator,0,0,51,False,False,True,False
scintillator,0,0,52,False,False,True,False
scintillator,0,0,53,False,False,True,False
scintillator,0,0,54,False,False,True,False
scintillator,0,0,55,False,False,True,False
scintillator,0,0,56,False,False,True,False
scintillator,0,0,57,False,False,True,False
scintillator,0,0,58,False,False,True,False
scintillator,0,0,59,False,False,True,False
scintillator,0,0,60,False,False,True,False
scintillator,0,0,61,False,False,True,False
scintillator,0,0,62,False,False,True,False
scintillator,0,0,63,False,False,True,False
scintillator,0,0,64,False,False,True,False
scintillator,0,0,65,False,False,True,False
scintillator,0,0,66,False,False,True,False
scintillator,0,1,0,False,False,True,False
scintillator,0,1,1,False,False,True,False
scintillator,0,1,2,False,False,False,False
scintillator,0,1,3,False,False,True,False
scintillator,0,1,4,False,False,False,False
scintillator,0,1,5,False,False,True,False
scintillator,0,1,6,False,False,True,False
scintillator,0,1,7,False,False,False,True
scintillator,0,1,8,False,False,True,False
scintillator,0,1,9,False,False,False,False
scintillator,0,1,10,False,False,True,False
scintillator,0,1,11,False,False,True,True
scintillator,0,1,12,False,False,True,False
scintillator,0,1,13,False,False,True,False
scintillator,0,1,14,False,False,True,False
scintillator,0,1,15,False,False,True,False
scintillator,0,1,16,False,False,True,False
scintillator,0,1,17,False,False,True,False
scintillator,0,1,18,False,False,True,False
scintillator,0,1,19,False,False,True,False
scintillator,0,1,20,False,False,True,False
scintillator,0,1,21,False,False,True,False
scintillator,0,1,22,False,False,True,False
scintillator,0,1,23,False,False,False,True
scintillator,0,1,24,False,False,True,True
scintillator,0,1,25,False,False,True,False
scintillator,0,1,26,False,False,True,True
scintillator,0,1,27,False,False,True,True
scintillator,0,1,28,False,False,True,True
scintillator,0,1,29,False,False,True,True
scintillator,0,1,30,False,False,True,False
scintillator,0,1,31,False,False,False,False
scintillator,0,1,32,False,False,True,True
scintillator,0,1,33,False,False,True,True
scintillator,0,1,34,False,False,True,True
scintillator,0,1,35,False,False,True,True
scintillator,0,1,36,False,False,True,False
scintillator,0,1,37,False,False,True,False
scintillator,0,1,38,False,False,True,True
scintillator,0,1,39,False,False,True,True
scintillator,0,1,40,False,False,True,True
scintillator,0,1,41,False,False,True,True
scintillator,0,1,42,False,False,True,False
scintillator,0,1,43,False,False,True,True
scintillator,0,1,44,False,False,True,True
scintillator,0,1,45,False,False,True,True
scintillator,0,1,46,False,False,True,True
scintillator,0,1,47,False,False,True,True
scintillator,0,1,48,False,False,True,True
scintillator,0,1,49,False,False,True,False
scintillator,0,1,50,False,False,True,True
scintillator,0,1,51,False,True,True,True
scintillator,0,1,52,False,False,True,True
scintillator,0,1,53,False,True,True,True
scintillator,0,1,54,False,False,True,False
scintillator,0,1,55,False,False,True,False
scintillator,0,1,56,False,False,True,True
scintillator,0,1,57,False,False,True,False
scintillator,0,1,58,False,False,True,False
scintillator,0,1,59,False,False,True,True
scintillator,0,1,60,False,False,True,True
scintillator,0,1,61,False,False,True,False
scintillator,0,1,62,False,False,True,False
scintillator,0,1,63,False,True,True,False
scintillator,0,1,64,False,False,True,False
scintillator,0,1,65,False,False,True,False
scintillator,0,1,66,False,False,True,True
scintillator,0,2,0,False,False,True,False
scintillator,0,2,1,False,True,True,False
scintillator,0,2,2,False,False,True,False
scintillator,0,2,3,True,False,True,False
scintillator,0,2,4,False,False,True,True
scintillator,0,2,5,True,False,True,True
scintillator,0,2,6,True,True,True,True
scintillator,0,2,7,False,False,True,False
scintillator,0,2,8,False,False,True,True
scintillator,0,2,9,False,False,True,True
scintillator,0,2,10,False,False,True,True
scintillator,0,2,11,False,True,False,False
scintillator,0,2,12,False,False,True,False
scintillator,0,2,13,False,False,True,False
scintillator,0,2,14,False,False,True,False
scintillator,0,2,15,False,False,True,True
scintillator,0,2,16,False,True,True,True
scintillator,0,2,17,False,False,True,True
scintillator,0,2,18,False,False,True,True
scintillator,0,2,19,False,False,True,False
scintillator,0,2,20,False,False,True,False
scintillator,0,2,21,False,False,True,True
scintillator,0,2,22,False,False,True,False
scintillator,0,2,23,False,False,True,True
scintillator,0,2,24,False,False,True,False
scintillator,0,2,25,False,False,True,False
scintillator,0,2,26,False,False,True,False
scintillator,0,2,27,False,False,True,True
scintillator,0,2,28,False,True,True,False
scintillator,0,2,29,False,False,False,False
